_id	x	y	senses
time/NN/Encow_sample_19771/50	-29.7938	-7.4455	time_4
time/NN/Encow_sample_24738/11	8.9555	-5.8521	time_2
time/NN/Encow_sample_21849/15	-7.459	-4.1613	time_2
time/NN/Encow_sample_30555/87	-14.1002	11.44	time_7
time/NNS/Encow_sample_19101/98	-1.3894	-22.2199	time_3
time/NN/Encow_sample_232/29	-30.109	-13.2886	time_3
time/NN/Encow_sample_7224/5	26.3465	19.7187	time_7
time/NN/Encow_sample_3875/16	2.3418	10.1044	time_2
time/NN/Encow_sample_24855/24	-14.1129	-27.5671	time_1
time/NN/Encow_sample_25058/133	0.1711	-7.4161	time_1
time/NN/Encow_sample_6233/37	-15.6622	9.2982	time_2
time/NN/Encow_sample_6648/52	-24.6283	-11.5467	time_1
time/NN/Encow_sample_3956/86	-16.7662	11.7301	time_2
time/NN/Encow_sample_22361/83	-26.3412	-17.6012	time_3
time/NN/Encow_sample_3163/16	4.0945	-3.9574	time_3
time/NN/Encow_sample_12455/11	-22.0799	-24.9741	time_1
time/NN/Encow_sample_32442/65	22.4902	9.1094	time_4
time/NN/Encow_sample_5003/13	-30.7942	-6.8088	time_3
time/NN/Encow_sample_2697/48	6.7197	11.778	time_4
time/NN/Encow_sample_19746/55	14.0301	22.0651	time_2
time/NN/Encow_sample_30912/54	-31.9994	-14.2836	time_3
time/NN/Encow_sample_32658/46	-24.8954	-8.8085	time_3
time/NNS/Encow_sample_24722/35	10.0284	-7.3783	time_4
time/NN/Encow_sample_11744/12	16.1804	30.2292	time_1
time/NN/Encow_sample_12411/8	-15.1243	24.7503	time_5
time/NN/Encow_sample_25060/50	-15.5962	7.9527	time_2
time/NN/Encow_sample_6675/20	26.286	-21.6098	time_1
time/NN/Encow_sample_17852/93	25.9785	19.5288	time_8
time/NNS/Encow_sample_9197/18	7.3959	2.6584	time_1
time/NN/Encow_sample_28484/23	7.6821	5.2371	time_8
time/NNS/Encow_sample_18841/13	0.4977	13.5801	time_4
time/NNS/Encow_sample_9635/73	9.6104	-17.8008	time_3
time/NN/Encow_sample_16602/61	15.4211	25.6365	time_3
time/NN/Encow_sample_17045/16	0.3972	4.3033	time_8
time/NN/Encow_sample_16283/69	-24.3248	-5.7279	time_1
time/NN/Encow_sample_8555/15	16.4846	2.0344	time_1
time/NN/Encow_sample_1840/35	15.4205	25.6474	time_2
time/NN/Encow_sample_13504/54	0.0	0.0	time_2
time/NN/Encow_sample_4968/40	0.0	0.0	time_2
time/NNS/Encow_sample_24304/9	-11.7317	-10.7555	time_3
time/NN/Encow_sample_31900/18	-0.9989	2.6298	time_8
time/NNS/Encow_sample_14986/46	7.3705	-19.2365	time_2
time/NN/Encow_sample_29542/9	8.9394	19.6226	time_1
time/NNS/Encow_sample_10744/83	8.5317	-12.3319	time_3
time/NNS/Encow_sample_29900/7	19.1877	-14.5717	time_1
time/NN/Encow_sample_30477/93	0.0	0.0	time_2
time/NN/Encow_sample_32338/68	14.9018	6.4665	time_8
time/NNS/Encow_sample_16913/43	4.9473	-19.1958	time_3
time/NN/Encow_sample_4877/15	22.0766	11.7914	time_2
time/NNS/Encow_sample_16925/75	21.97	-13.9093	time_2
time/NN/Encow_sample_19697/28	-12.7237	-21.9527	time_1
time/NN/Encow_sample_19826/67	7.5035	-4.6326	time_2
time/NN/Encow_sample_18677/31	-14.2138	-25.0548	time_1
time/NNS/Encow_sample_13724/66	2.1951	17.5822	time_1
time/NN/Encow_sample_22428/20	8.0937	26.2452	time_1
time/NN/Encow_sample_27342/65	0.1821	3.8047	time_8
time/NN/Encow_sample_3464/40	21.9124	-4.7404	time_5
time/NN/Encow_sample_32504/126	-21.7709	-25.8362	time_1
time/NN/Encow_sample_4340/41	-26.2898	-15.5051	time_1
